raw_id,idFournisseur,nomFournisseur,emailFournisseur,numTele,addressFournisseur,secteurFournisseur,date_extraction,source_system
1,FRN0001,Diaz SA,contact@wilson-harris.com,+33 (0)1 72 33 97 40,"18, chemin Durand - 26701 Chrétien",Construction,2025-05-19 09:28:33,API_Import
2,FRN0002,Garnier,,0310939685,"91, chemin de Vincent - 13547 Sanchez",Transport,2025-02-12 07:29:37,Web_Form
3,FRN0003,TEXIER,,404.762.2656x7661,"230 Tiffany Mountain Suite 863 - South Michael, KY 25205",INDUSTRIE,2025-04-06 06:22:40,Mobile_App_v2
4,FRN0004,Hamon Lenoir S.A.R.L.,xclement@hoarau.com,001-210-569-0331x1907,"66, rue Éric Thomas - 39555 Samson",Commerce,2025-05-24 19:10:17,Mobile_App_v2
5,FRN0005,Henry,emmanuellemoine@pons.fr,+1-730-528-4395,"836 Hill Point - Lake Erika, OH 65463",Transport,2025-01-10 02:29:44,Web_Form
6,FRN0006,GODARD S.A.S.,shelly68@horton-russell.com,(428)873-3427x0866,"1751 Brett Lane - Port Charlesshire, VA 88509",INDUSTRIE,2025-01-03 09:30:41,API_Import
7,FRN0007,"ROBINSON, CLARK AND MEADOWS",,+33 2 69 44 47 21,"56, rue Agnès Deschamps - 31838 Valentin-sur-Mer",Industrie,2025-03-30 21:47:23,CRM_System
8,FRN0008,Hayden Inc,,(744)858-7717x535,"204 Phillips Flat - Jerryshire, MP 32709",Technologie,2025-01-02 07:32:17,API_Import
9,FRN0009,Pierce-Harding,contact@perret.com,+33 4 57 59 37 52,Unit 7725 Box 2287 - DPO AE 71559,Autre,2025-03-19 07:55:51,API_Import
10,FRN0010,"Bernard, Warren and Combs",contact@noel.com,+33 3 28 80 73 74,"62312 Jeffery Motorway - Brucefort, TN 64445",Technologie,2025-01-04 01:18:55,CRM_System
11,FRN0011,JOLY,contact@smith-li.com,0380426617,"98, avenue de Devaux - 05909 Boutin",Industrie,2025-04-15 06:09:47,Mobile_App_v2
12,FRN0012,Nicolas S.A.,,02 44 01 43 88,"4615 Stevens Gardens Apt. 410 - South Nicholasside, NJ 07856",Santé,2025-04-19 08:26:16,Manual_Entry
13,FRN0013,"Smith, Jackson and Porter",contact@laurent.com,380-633-9740,"PSC 9025, Box 0392 - APO AP 52706",tech,2025-01-15 22:33:16,Legacy_DB
14,FRN0014,Martin-Allen,irhodes@reyes-singh.com,615.999.9650,"2, rue de Lévêque - 39451 Leclercdan",Technologie,2025-04-06 06:22:40,Web_Form
15,FRN0015,NAVARRO ET FILS,michaelpugh@lopez-willis.biz,+33 (0)4 57 01 05 12,"38, boulevard Aurélie Pinto - 29916 Lombard-les-Bains",Technologie,2025-01-17 15:21:48,Manual_Entry
16,FRN0016,LEROY,contact@lebreton.com,001-365-451-1047x5412,rue de Leclerc - 35870 Saint Susanne-les-Bains,Santé,2025-03-13 00:43:08,Mobile_App_v2
17,FRN0017,Cole-Peters,,(404)666-1839x8262,"12646 Washington Club Suite 437 - South Daniel, ME 01388",Agriculture,2025-02-20 22:39:19,Legacy_DB
18,FRN0018,Evrard,contact@benard.com,775-669-2459x37526,"356 Velasquez Lock Suite 193 - Lake Katrina, AK 95818",Santé,2025-03-31 15:18:55,Web_Form
19,FRN0019,"CLARK, SALINAS AND GUERRA",contact@fuentes.com,+1-872-843-4266x17979,"4, rue Jules Besson - 88244 Chevalliernec",Construction,2025-04-16 13:34:13,Web_Form
20,FRN0020,Gibbs LLC,rodriguezjohn@kelly.biz,+33 3 21 74 22 57,"8, rue Jacob - 71617 Lejeunedan",Santé,2025-05-27 03:45:21,Legacy_DB
21,FRN0021,RÉMY S.A.,maryflores@meyer.com,796-823-3260,"76748 Corey Mills Apt. 066 - Port Brittany, TN 84680",INDUSTRIE,2025-05-13 07:28:15,CRM_System
22,FRN0022,WATSON PLC,contact@allard.com,001-217-888-2426x55946,"PSC 3272, Box 3717 - APO AP 66376",tech,2025-02-26 00:51:03,Web_Form
23,FRN0023,GUICHARD,kshelton@johnson.com,987-808-4779x541,boulevard Jean - 40106 Faure-les-Bains,Autre,2025-02-25 19:42:23,CRM_System
24,FRN0024,"JONES, CARDENAS AND HANCOCK",,001-545-689-6268,"3802 Gina Locks Apt. 239 - Maldonadoburgh, DE 83285",tech,2025-05-10 16:38:24,Mobile_App_v2
25,FRN0025,"Johnson, Atkinson and Rojas",contact@johns.com,001-288-861-8207,"07923 Maxwell Radial - South Angela, MH 30774",Technologie,2025-03-18 13:58:26,Mobile_App_v2
26,FRN0026,HILL LTD,contact@bates.com,+1-870-535-0675x789,"56, boulevard de Foucher - 31732 Berthelot",INDUSTRIE,2025-03-04 07:53:54,Web_Form
27,FRN0027,Morgan Ltd,,+1-205-621-8799x38444,"32, chemin de Picard - 87961 Joly",Technologie,2025-05-19 09:54:04,Web_Form
28,FRN0028,Holden-Medina,bonillalarry@barron-tapia.com,0755917105,"6, boulevard Éric Poirier - 57565 Royer",Agriculture,2025-05-27 03:06:12,Manual_Entry
29,FRN0029,Mayer Ltd,wrolland@diaz.net,+33 4 56 78 41 71,"56891 Brandi Mill Suite 978 - Port Nicolebury, SC 40157",tech,2025-05-02 20:39:21,Legacy_DB
30,FRN0030,JENKINS-KENNEDY,ines49@bourgeois.org,+33 1 64 53 78 80,"9, avenue Perez - 97618 Dupuis",tech,2025-05-06 02:42:03,Manual_Entry
31,FRN0031,Johnson-Juarez,iguillou@pascal.com,03 54 04 86 25,"81, chemin de Lejeune - 41951 Millet",Construction,2025-05-22 13:05:59,Mobile_App_v2
32,FRN0032,Weiss Group,,+33 (0)2 44 56 73 44,"8, avenue Isaac Allain - 50702 Sainte Maurice-sur-Mer",Transport,2025-03-18 21:44:39,API_Import
33,FRN0033,"Stanley, Melton and Kelly",,001-402-691-5854x233,"794, avenue de Charles - 43153 Coste-sur-Bruneau",Santé,2025-04-24 18:11:57,Mobile_App_v2
34,FRN0034,Blot SA,casey54@wright.info,+33 (0)1 75 89 85 73,"2159 Gardner Run Apt. 749 - South Brycetown, MA 02221",tech,2025-04-23 03:03:46,Legacy_DB
35,FRN0035,Rossi S.A.,,001-444-476-0948x37740,"9, avenue de Dupré - 66397 Picard",Agriculture,2025-05-07 07:47:16,Web_Form
36,FRN0036,Perrier,contact@sullivan.com,402.365.0996,"69, rue de Paul - 94213 Roux-sur-Colin",Autre,2025-04-19 07:40:38,Mobile_App_v2
37,FRN0037,FOUCHER,robertchavez@greene.biz,(561)602-5634x20222,"871, chemin Hamel - 74641 Charles",Commerce,2025-03-05 19:59:58,Mobile_App_v2
38,FRN0038,"Chapman, Williams and Yoder",patriciafreeman@yang.org,07 92 86 81 12,"446 Joshua Burg - East John, PR 46436",Transport,2025-01-13 04:02:59,API_Import
39,FRN0039,TORRES-FOSTER,contact@hamilton-parker.com,(701)886-3726x3199,"PSC 5592, Box 2776 - APO AA 12648",Commerce,2025-04-29 09:39:44,Manual_Entry
40,FRN0040,PARIS SARL,contact@simon.com,213-644-4867x22883,"14546 Nathaniel Orchard - Bettyborough, FL 47372",Construction,2025-04-30 20:20:16,API_Import
