raw_id,idNotification,typeNotification,dateEnvoi,typeEnvoi,contenu,date_extraction,source_system
1,NOT000001,INFO,27/02/2025 15:40,In-App,Across ground executive huge crime. Rise wind reflect best imagine scientist.,2025-02-14 23:11:41,Manual_Entry
2,NOT000002,Subscription Expiry,2023-12-31T23:59:59.999Z,push,"Year maybe yeah participant. Us game size fund growth task issue.
Decade particular avoid charge physical. Best address short finally test something time. Behind finish value claim evidence guy become.",2025-03-09 19:44:43,Legacy_DB
3,NOT000003,INFO,2025-03-23T09:09:09,EMAIL,Mari répéter verre haïr tendre montrer saint. Repas nu avec plaindre oublier entre voilà. Adresser supposer tracer lever engager respecter.,2025-03-01 14:33:45,API_Import
4,NOT000004,INFO,2025-04-08,EMAIL,"Late theory yard amount within arm so. Account table fact citizen human authority hold. Protect give life movement stand board Congress.
Should current forget fish you main. Boy lawyer nation we certainly degree nothing.",2025-01-25 05:21:19,CRM_System
5,NOT000005,SUBSCRIPTION_EXPIRY,2023-12-31T23:59:59.999Z,,"Fuir étroit meilleur maintenant réel calme. Importance faux mettre clef. Figure sentier portier hasard droit page.
Riche bouche pencher où. Bouche raconter paquet même parti lier.
Seul crier remplacer mesure calmer.",2025-04-11 18:32:38,Mobile_App_v2
6,NOT000006,PAYMENT_REMINDER,01/02/2025 22:46,push,"Espérer vaste volonté depuis vieillard contre. Santé rêve musique cercle partout ville. Français énorme cinq défendre. Ligne parole répondre semblable.
Secours cinquante entourer bête ajouter. Parfaitement note alors. Tirer avenir fil quel certain ignorer parole. Consentir pensée d'autres conversation seigneur promettre.
Peser dormir train pareil pas. Soit ça toucher ce chanter dire conduire avec. Tendre craindre bon résultat garçon journal.",2025-01-30 13:59:02,CRM_System
7,NOT000007,payment_reminder,2025-02-12 03:05:47,,"Little read claim recent great realize home. Night throw cup. Pattern food worry voice sea say first character.
Material first society purpose. Minute about late strategy call. Police official already second could recent similar.",2025-01-06 17:28:07,Web_Form
8,NOT000008,SYSTEM_ALERT,2023-12-31T23:59:59.999Z,In-App,Visit town between because student bed administration usually. Market seem until between.,2025-03-22 12:43:08,API_Import
9,NOT000009,PAYMENT_REMINDER,2025-01-01,,"Administration check hear. Star outside friend where year drop wind. Pattern hotel appear use investment.
Idea fish citizen discuss. Mean place six successful. True study city follow behavior agent activity show.
Peace myself win. Him score candidate law place group dream.
Create subject risk southern her. Process ever various physical point.",2025-02-04 16:41:43,Mobile_App_v2
10,NOT000010,INFO,2025-01-17T04:52:17,push,"Dont couler beaux présenter pensée. Question lendemain lorsque fortune convenir commun porte.
Bord ressembler noir colon course professeur. Source goutte quinze rose papa officier.",2025-05-03 13:40:03,CRM_System
11,NOT000011,Subscription Expiry,17/02/2025 15:15,push,"Chasser enfermer accuser portier prince croiser. Résultat surprendre mode fin obliger mal bord. Prince tromper rien planche mouvement.
Ennemi ensuite cou révéler leur voiture. Carte ici obliger nommer demande aider. Pauvre sien voir.",2025-03-30 06:30:16,Mobile_App_v2
12,NOT000012,SUBSCRIPTION_EXPIRY,2023-12-31T23:59:59.999Z,push,"Tranquille bord de salle champ votre. Début battre profondément roi rose marier.
Différent réponse but.",2025-01-29 17:44:12,CRM_System
13,NOT000013,payment_reminder,2025-03-08T13:36:44,SMS,Low pass national citizen score unit. Paper movie military set describe.,2025-02-21 23:03:44,Legacy_DB
14,NOT000014,SYSTEM_ALERT,2025-03-28T18:08:40,In-App,"Dépasser jaune juste douze relever joie beaux. Prétendre étudier sec depuis paysan. Pourtant avance léger crise plan.
Construire bout crainte nombreux malade silence. Présenter permettre sept bras certain. Fin ici pain courage fou aussitôt.",2025-03-06 19:20:19,Web_Form
15,NOT000015,SUBSCRIPTION_EXPIRY,2025-02-22,In-App,"Well give necessary family seat. Job watch two economic cup suffer response. Bill soldier onto close day reveal.
Interest section staff performance parent investment note. Today standard last threat when education. Fall step population whole good air.
Investment control early Democrat he certain. Business five action forget let somebody.
At exist defense design night respond watch. Off position radio itself.",2025-01-01 21:39:23,API_Import
16,NOT000016,payment_reminder,2025-05-06,SMS,"École franc notre malheur le. Brusquement armer désir ça camarade supérieur. Disparaître aujourd'hui bon déchirer page prière fois.
Puisque souffrance distinguer course reposer. Parvenir près durer absence conscience te.
Quart seulement porter commencement point combat erreur. Chanter action inventer espèce compte diriger avant. Notre vêtir nécessaire. Son interroger après âge poids écarter déclarer.",2025-04-11 13:16:03,CRM_System
17,NOT000017,URGENT,2023-12-31T23:59:59.999Z,,Dix lutter passé chemin. Sien peser chanter lettre derrière que. Expérience quelqu'un conversation usage pas verre.,2025-01-26 10:46:29,Web_Form
18,NOT000018,INFO,2025-03-20T05:14:03,In-App,"Journal aucun écouter ignorer curiosité. Ce juge accent étroit science armer chambre souffler.
Choix bas docteur voyager côté neuf avoir. An toute désir poche fine. Vers bleu digne elle endormir moins.",2025-03-23 17:37:22,Manual_Entry
19,NOT000019,URGENT,2023-12-31T23:59:59.999Z,email,Celui plaisir inconnu recueillir lune secret.,2025-05-06 04:52:20,Mobile_App_v2
20,NOT000020,PAYMENT_REMINDER,2023-12-31T23:59:59.999Z,email,"Rich ever send hundred news finish. Another fear worker management political treat successful visit.
Difference stay catch. Technology right difficult because right speech.",2025-02-26 10:11:11,Legacy_DB
21,NOT000021,PAYMENT_REMINDER,2025-01-24T06:46:52,EMAIL,"Thousand whole including land business month official product. Focus room difficult enough fast.
Next their process same day back. Art actually democratic stand could bit decade.
Method finish want remain pretty summer black. Despite hair window test. Data hundred attention institution rather week officer. Challenge then seat drive.
Environment live most goal. Until base issue character. Issue free kid have any him up.",2025-01-11 07:38:23,Manual_Entry
